Date,relative_diff
2005-10-24,1.4442767837896135
2005-10-25,-0.27624309392265733
2005-10-26,0.5327082889409759
2005-10-27,0.08478168715557259
2005-10-28,-1.7365523083439227
2005-10-31,-1.443965517241383
2005-11-01,0.8746993221080378
2005-11-02,-0.36852373726425686
2005-11-03,-0.9791122715404761
2005-11-04,0.5713030103274118
2005-11-07,0.3058772121476807
2005-11-08,1.415813548246582
2005-11-09,-0.171821305841936
2005-11-10,0.688468158347677
2005-11-11,-0.384615384615384
2005-11-14,0.08580008580008397
2005-11-15,2.400342906129457
2005-11-16,1.4650481372959308
2005-11-17,-0.04125412541253305
2005-11-18,1.0936855138258381
2005-11-21,0.6736068585425562
2005-11-22,-0.344687753446881
2005-11-23,0.5493387589013289
2005-11-25,0.647511129097532
2005-11-28,0.1206272617611483
